 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> giugno 16, 2015 
 ==================================================================

 Disk File Name = SRIM Outputs\Neon in  H- C- O.txt

 Ion = Neon [10] , Mass = 19,992 amu

 Target Density =  1,3970E+00 g/cm3 = 9,6311E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    036,36    004,20   
      C      6    045,45    062,50   
      O      8    018,18    033,30   
 ====================================
 Bragg Correction = -4,30%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10,00 keV   4,972E-01  1,799E+00     283 A       100 A        73 A   
  11,00 keV   5,215E-01  1,779E+00     308 A       108 A        79 A   
  12,00 keV   5,446E-01  1,758E+00     334 A       115 A        84 A   
  13,00 keV   5,669E-01  1,736E+00     360 A       123 A        90 A   
  14,00 keV   5,883E-01  1,715E+00     386 A       131 A        95 A   
  15,00 keV   6,089E-01  1,693E+00     412 A       138 A       100 A   
  16,00 keV   6,289E-01  1,672E+00     438 A       145 A       106 A   
  17,00 keV   6,483E-01  1,651E+00     464 A       153 A       111 A   
  18,00 keV   6,671E-01  1,631E+00     490 A       160 A       116 A   
  20,00 keV   7,031E-01  1,590E+00     543 A       174 A       127 A   
  22,50 keV   7,458E-01  1,543E+00     609 A       192 A       140 A   
  25,00 keV   7,861E-01  1,498E+00     676 A       209 A       153 A   
  27,50 keV   8,245E-01  1,455E+00     744 A       226 A       166 A   
  30,00 keV   8,612E-01  1,415E+00     812 A       242 A       179 A   
  32,50 keV   8,964E-01  1,378E+00     880 A       259 A       192 A   
  35,00 keV   9,302E-01  1,342E+00     949 A       275 A       205 A   
  37,50 keV   9,628E-01  1,309E+00    1017 A       290 A       218 A   
  40,00 keV   9,947E-01  1,277E+00    1087 A       306 A       231 A   
  45,00 keV   1,124E+00  1,219E+00    1223 A       335 A       256 A   
