 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> dicembre 01, 2014 
 ==================================================================

 Disk File Name = SRIM Outputs\Neon in Silicon.txt

 Ion = Neon [10] , Mass = 19,992 amu

 Target Density =  2,3212E+00 g/cm3 = 4,9770E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Si     14    100,00    100,00   
 ====================================
 Bragg Correction = 0,00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
 100,00 keV   1,205E+00  5,934E-01    2044 A       727 A       590 A   
 110,00 keV   1,237E+00  5,671E-01    2242 A       774 A       633 A   
 120,00 keV   1,269E+00  5,435E-01    2441 A       819 A       676 A   
 130,00 keV   1,300E+00  5,220E-01    2641 A       863 A       718 A   
 140,00 keV   1,332E+00  5,025E-01    2841 A       906 A       759 A   
 150,00 keV   1,364E+00  4,845E-01    3041 A       947 A       800 A   
 160,00 keV   1,398E+00  4,681E-01    3240 A       986 A       840 A   
 170,00 keV   1,432E+00  4,529E-01    3438 A      1024 A       879 A   
 180,00 keV   1,468E+00  4,388E-01    3635 A      1061 A       917 A   
 200,00 keV   1,543E+00  4,135E-01    4024 A      1130 A       992 A   
 225,00 keV   1,643E+00  3,862E-01    4500 A      1210 A      1081 A   
 250,00 keV   1,747E+00  3,628E-01    4962 A      1281 A      1165 A   
 275,00 keV   1,855E+00  3,425E-01    5410 A      1346 A      1243 A   
 300,00 keV   1,966E+00  3,247E-01    5842 A      1405 A      1317 A   
 325,00 keV   2,079E+00  3,088E-01    6259 A      1457 A      1386 A   
 350,00 keV   2,193E+00  2,947E-01    6662 A      1505 A      1451 A   
 375,00 keV   2,308E+00  2,819E-01    7050 A      1549 A      1512 A   
 400,00 keV   2,422E+00  2,704E-01    7425 A      1589 A      1568 A   
