 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> giugno 16, 2015 
 ==================================================================

 Disk File Name = SRIM Outputs\Nickel in  H- C- O.txt

 Ion = Nickel [28] , Mass = 57,94 amu

 Target Density =  1,3970E+00 g/cm3 = 9,6311E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    036,36    004,20   
      C      6    045,45    062,50   
      O      8    018,18    033,30   
 ====================================
 Bragg Correction = -4,30%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
 100,00 keV   8,594E-01  5,476E+00    1087 A       224 A       183 A   
 110,00 keV   9,013E-01  5,379E+00    1192 A       243 A       198 A   
 120,00 keV   1,049E+00  5,284E+00    1297 A       261 A       214 A   
 130,00 keV   1,266E+00  5,191E+00    1400 A       278 A       229 A   
 140,00 keV   1,400E+00  5,101E+00    1503 A       295 A       243 A   
 150,00 keV   1,481E+00  5,013E+00    1605 A       312 A       258 A   
 160,00 keV   1,529E+00  4,928E+00    1708 A       328 A       273 A   
 170,00 keV   1,556E+00  4,846E+00    1812 A       344 A       287 A   
 180,00 keV   1,569E+00  4,766E+00    1916 A       360 A       302 A   
 200,00 keV   1,579E+00  4,615E+00    2130 A       393 A       330 A   
 225,00 keV   1,586E+00  4,440E+00    2405 A       435 A       367 A   
 250,00 keV   1,606E+00  4,279E+00    2687 A       477 A       403 A   
 275,00 keV   1,645E+00  4,132E+00    2976 A       518 A       441 A   
 300,00 keV   1,703E+00  3,995E+00    3270 A       560 A       478 A   
 325,00 keV   1,777E+00  3,869E+00    3568 A       601 A       515 A   
 350,00 keV   1,864E+00  3,751E+00    3869 A       641 A       553 A   
 375,00 keV   1,960E+00  3,642E+00    4171 A       680 A       591 A   
 400,00 keV   2,063E+00  3,540E+00    4474 A       719 A       629 A   
