 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> dicembre 01, 2014 
 ==================================================================

 Disk File Name = SRIM Outputs\Nickel in Silicon.txt

 Ion = Nickel [28] , Mass = 57,94 amu

 Target Density =  2,3212E+00 g/cm3 = 4,9770E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Si     14    100,00    100,00   
 ====================================
 Bragg Correction = 0,00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
 100,00 keV   5,433E-01  4,042E+00     825 A       274 A       201 A   
 110,00 keV   5,699E-01  3,988E+00     904 A       297 A       217 A   
 120,00 keV   6,780E-01  3,933E+00     983 A       319 A       233 A   
 130,00 keV   8,528E-01  3,877E+00    1061 A       341 A       250 A   
 140,00 keV   9,708E-01  3,822E+00    1137 A       361 A       266 A   
 150,00 keV   1,048E+00  3,768E+00    1213 A       381 A       282 A   
 160,00 keV   1,096E+00  3,715E+00    1289 A       401 A       298 A   
 170,00 keV   1,124E+00  3,663E+00    1366 A       421 A       313 A   
 180,00 keV   1,140E+00  3,612E+00    1443 A       440 A       329 A   
 200,00 keV   1,151E+00  3,514E+00    1600 A       480 A       360 A   
 225,00 keV   1,154E+00  3,398E+00    1802 A       531 A       398 A   
 250,00 keV   1,165E+00  3,290E+00    2010 A       582 A       436 A   
 275,00 keV   1,189E+00  3,189E+00    2223 A       633 A       474 A   
 300,00 keV   1,226E+00  3,095E+00    2440 A       684 A       513 A   
 325,00 keV   1,275E+00  3,007E+00    2660 A       735 A       552 A   
 350,00 keV   1,333E+00  2,925E+00    2883 A       785 A       592 A   
 375,00 keV   1,398E+00  2,848E+00    3106 A       834 A       632 A   
 400,00 keV   1,468E+00  2,775E+00    3331 A       883 A       672 A   
 450,00 keV   1,616E+00  2,642E+00    3782 A       977 A       753 A   
