 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> dicembre 01, 2014 
 ==================================================================

 Disk File Name = SRIM Outputs\Niobium in Silicon.txt

 Ion = Niobium [41] , Mass = 92,91 amu

 Target Density =  2,3212E+00 g/cm3 = 4,9770E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Si     14    100,00    100,00   
 ====================================
 Bragg Correction = 0,00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
 100,00 keV   8,879E-01  6,740E+00     598 A       166 A       132 A   
 110,00 keV   9,313E-01  6,740E+00     647 A       178 A       141 A   
 120,00 keV   9,727E-01  6,730E+00     696 A       190 A       150 A   
 130,00 keV   1,012E+00  6,713E+00     745 A       201 A       159 A   
 140,00 keV   1,051E+00  6,691E+00     794 A       213 A       168 A   
 150,00 keV   1,087E+00  6,664E+00     843 A       224 A       177 A   
 160,00 keV   1,123E+00  6,634E+00     891 A       235 A       186 A   
 170,00 keV   1,158E+00  6,602E+00     940 A       246 A       195 A   
 180,00 keV   1,191E+00  6,567E+00     989 A       257 A       204 A   
 200,00 keV   1,267E+00  6,493E+00    1088 A       279 A       221 A   
 225,00 keV   1,360E+00  6,395E+00    1211 A       306 A       242 A   
 250,00 keV   1,446E+00  6,294E+00    1335 A       333 A       263 A   
 275,00 keV   1,526E+00  6,192E+00    1460 A       360 A       285 A   
 300,00 keV   1,602E+00  6,091E+00    1585 A       386 A       305 A   
 325,00 keV   1,675E+00  5,991E+00    1711 A       412 A       326 A   
 350,00 keV   1,746E+00  5,893E+00    1838 A       438 A       347 A   
 375,00 keV   1,817E+00  5,798E+00    1966 A       463 A       368 A   
 400,00 keV   1,886E+00  5,705E+00    2094 A       488 A       388 A   
 450,00 keV   2,022E+00  5,528E+00    2352 A       538 A       429 A   
