 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> giugno 16, 2015 
 ==================================================================

 Disk File Name = SRIM Outputs\Nitrogen in  H- C- O.txt

 Ion = Nitrogen [7] , Mass = 14,003 amu

 Target Density =  1,3970E+00 g/cm3 = 9,6311E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    036,36    004,20   
      C      6    045,45    062,50   
      O      8    018,18    033,30   
 ====================================
 Bragg Correction = -4,30%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10,00 keV   7,034E-01  1,032E+00     360 A       131 A        96 A   
  11,00 keV   7,377E-01  1,009E+00     394 A       141 A       104 A   
  12,00 keV   7,706E-01  9,861E-01     428 A       151 A       111 A   
  13,00 keV   8,020E-01  9,644E-01     461 A       160 A       118 A   
  14,00 keV   8,323E-01  9,437E-01     495 A       169 A       125 A   
  15,00 keV   8,615E-01  9,240E-01     529 A       178 A       132 A   
  16,00 keV   8,898E-01  9,050E-01     562 A       187 A       140 A   
  17,00 keV   9,172E-01  8,870E-01     596 A       195 A       147 A   
  18,00 keV   9,437E-01  8,697E-01     629 A       203 A       153 A   
  20,00 keV   9,948E-01  8,373E-01     696 A       220 A       167 A   
  22,50 keV   1,055E+00  8,006E-01     779 A       239 A       184 A   
  25,00 keV   1,112E+00  7,674E-01     862 A       257 A       200 A   
  27,50 keV   1,167E+00  7,373E-01     944 A       275 A       216 A   
  30,00 keV   1,207E+00  7,098E-01    1026 A       291 A       231 A   
  32,50 keV   1,247E+00  6,847E-01    1108 A       307 A       246 A   
  35,00 keV   1,288E+00  6,616E-01    1190 A       323 A       261 A   
  37,50 keV   1,330E+00  6,402E-01    1271 A       338 A       276 A   
  40,00 keV   1,370E+00  6,204E-01    1351 A       352 A       290 A   
