 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> dicembre 01, 2014 
 ==================================================================

 Disk File Name = SRIM Outputs\Nitrogen in Silicon.txt

 Ion = Nitrogen [7] , Mass = 14,003 amu

 Target Density =  2,3212E+00 g/cm3 = 4,9770E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Si     14    100,00    100,00   
 ====================================
 Bragg Correction = 0,00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
 100,00 keV   1,376E+00  2,640E-01    2444 A       754 A       666 A   
 110,00 keV   1,413E+00  2,504E-01    2670 A       794 A       709 A   
 120,00 keV   1,450E+00  2,383E-01    2894 A       832 A       751 A   
 130,00 keV   1,487E+00  2,275E-01    3117 A       867 A       791 A   
 140,00 keV   1,524E+00  2,178E-01    3337 A       901 A       830 A   
 150,00 keV   1,563E+00  2,090E-01    3556 A       933 A       867 A   
 160,00 keV   1,602E+00  2,010E-01    3771 A       963 A       904 A   
 170,00 keV   1,643E+00  1,937E-01    3984 A       992 A       939 A   
 180,00 keV   1,685E+00  1,869E-01    4194 A      1019 A       973 A   
 200,00 keV   1,771E+00  1,750E-01    4604 A      1070 A      1038 A   
 225,00 keV   1,884E+00  1,623E-01    5098 A      1127 A      1113 A   
 250,00 keV   2,001E+00  1,515E-01    5571 A      1177 A      1181 A   
 275,00 keV   2,120E+00  1,423E-01    6024 A      1221 A      1244 A   
 300,00 keV   2,241E+00  1,342E-01    6457 A      1260 A      1302 A   
 325,00 keV   2,361E+00  1,271E-01    6872 A      1295 A      1355 A   
 350,00 keV   2,482E+00  1,208E-01    7270 A      1326 A      1404 A   
 375,00 keV   2,601E+00  1,152E-01    7653 A      1355 A      1449 A   
 400,00 keV   2,718E+00  1,102E-01    8022 A      1380 A      1491 A   
