 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> giugno 16, 2015 
 ==================================================================

 Disk File Name = SRIM Outputs\Oxygen in  H- C- O.txt

 Ion = Oxygen [8] , Mass = 15,995 amu

 Target Density =  1,3970E+00 g/cm3 = 9,6311E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    036,36    004,20   
      C      6    045,45    062,50   
      O      8    018,18    033,30   
 ====================================
 Bragg Correction = -4,30%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10,00 keV   6,641E-01  1,285E+00     325 A       117 A        86 A   
  11,00 keV   6,966E-01  1,262E+00     355 A       126 A        92 A   
  12,00 keV   7,275E-01  1,238E+00     385 A       135 A        99 A   
  13,00 keV   7,572E-01  1,216E+00     416 A       143 A       105 A   
  14,00 keV   7,858E-01  1,194E+00     446 A       152 A       111 A   
  15,00 keV   8,134E-01  1,172E+00     476 A       160 A       118 A   
  16,00 keV   8,401E-01  1,152E+00     506 A       168 A       124 A   
  17,00 keV   8,660E-01  1,132E+00     536 A       176 A       130 A   
  18,00 keV   8,911E-01  1,113E+00     567 A       184 A       136 A   
  20,00 keV   9,393E-01  1,076E+00     627 A       199 A       149 A   
  22,50 keV   9,962E-01  1,035E+00     703 A       218 A       164 A   
  25,00 keV   1,050E+00  9,961E-01     778 A       235 A       179 A   
  27,50 keV   1,101E+00  9,609E-01     854 A       252 A       193 A   
  30,00 keV   1,150E+00  9,284E-01     929 A       269 A       207 A   
  32,50 keV   1,192E+00  8,985E-01    1004 A       285 A       222 A   
  35,00 keV   1,215E+00  8,707E-01    1080 A       300 A       235 A   
  37,50 keV   1,238E+00  8,448E-01    1156 A       315 A       249 A   
  40,00 keV   1,264E+00  8,207E-01    1232 A       330 A       263 A   
  45,00 keV   1,315E+00  7,771E-01    1384 A       359 A       289 A   
