 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> dicembre 01, 2014 
 ==================================================================

 Disk File Name = SRIM Outputs\Oxygen in Silicon.txt

 Ion = Oxygen [8] , Mass = 15,995 amu

 Target Density =  2,3212E+00 g/cm3 = 4,9770E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Si     14    100,00    100,00   
 ====================================
 Bragg Correction = 0,00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
 100,00 keV   1,298E+00  3,598E-01    2324 A       759 A       645 A   
 110,00 keV   1,344E+00  3,422E-01    2542 A       802 A       691 A   
 120,00 keV   1,389E+00  3,264E-01    2759 A       844 A       734 A   
 130,00 keV   1,432E+00  3,123E-01    2974 A       883 A       777 A   
 140,00 keV   1,473E+00  2,996E-01    3187 A       920 A       818 A   
 150,00 keV   1,514E+00  2,879E-01    3398 A       956 A       858 A   
 160,00 keV   1,555E+00  2,773E-01    3607 A       989 A       896 A   
 170,00 keV   1,595E+00  2,676E-01    3813 A      1021 A       934 A   
 180,00 keV   1,635E+00  2,586E-01    4017 A      1052 A       970 A   
 200,00 keV   1,714E+00  2,426E-01    4417 A      1109 A      1039 A   
 225,00 keV   1,814E+00  2,256E-01    4904 A      1173 A      1119 A   
 250,00 keV   1,915E+00  2,111E-01    5374 A      1231 A      1194 A   
 275,00 keV   2,016E+00  1,985E-01    5828 A      1283 A      1263 A   
 300,00 keV   2,118E+00  1,876E-01    6267 A      1330 A      1328 A   
 325,00 keV   2,220E+00  1,780E-01    6692 A      1372 A      1388 A   
 350,00 keV   2,322E+00  1,694E-01    7102 A      1410 A      1444 A   
 375,00 keV   2,425E+00  1,617E-01    7498 A      1445 A      1496 A   
 400,00 keV   2,526E+00  1,548E-01    7882 A      1477 A      1544 A   
