 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> giugno 16, 2015 
 ==================================================================

 Disk File Name = SRIM Outputs\Phosphorus in  H- C- O.txt

 Ion = Phosphorus [15] , Mass = 30,974 amu

 Target Density =  1,3970E+00 g/cm3 = 9,6311E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    036,36    004,20   
      C      6    045,45    062,50   
      O      8    018,18    033,30   
 ====================================
 Bragg Correction = -4,30%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10,00 keV   6,171E-01  3,021E+00     208 A        65 A        50 A   
  11,00 keV   6,472E-01  3,026E+00     225 A        69 A        53 A   
  12,00 keV   6,760E-01  3,027E+00     241 A        73 A        57 A   
  13,00 keV   7,036E-01  3,024E+00     258 A        78 A        60 A   
  14,00 keV   7,302E-01  3,018E+00     274 A        82 A        63 A   
  15,00 keV   7,558E-01  3,010E+00     291 A        86 A        66 A   
  16,00 keV   7,806E-01  3,000E+00     307 A        90 A        70 A   
  17,00 keV   8,046E-01  2,989E+00     323 A        94 A        73 A   
  18,00 keV   8,279E-01  2,977E+00     340 A        98 A        76 A   
  20,00 keV   8,727E-01  2,950E+00     372 A       106 A        82 A   
  22,50 keV   9,257E-01  2,913E+00     413 A       116 A        89 A   
  25,00 keV   9,757E-01  2,873E+00     454 A       126 A        97 A   
  27,50 keV   1,023E+00  2,833E+00     494 A       135 A       104 A   
  30,00 keV   1,069E+00  2,792E+00     535 A       145 A       111 A   
  32,50 keV   1,113E+00  2,751E+00     576 A       154 A       118 A   
  35,00 keV   1,155E+00  2,711E+00     617 A       163 A       126 A   
  37,50 keV   1,195E+00  2,671E+00     658 A       172 A       133 A   
  40,00 keV   1,234E+00  2,633E+00     699 A       181 A       140 A   
  45,00 keV   1,309E+00  2,558E+00     782 A       198 A       153 A   
