 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> dicembre 01, 2014 
 ==================================================================

 Disk File Name = SRIM Outputs\Phosphorus in Silicon.txt

 Ion = Phosphorus [15] , Mass = 30,974 amu

 Target Density =  2,3212E+00 g/cm3 = 4,9770E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Si     14    100,00    100,00   
 ====================================
 Bragg Correction = 0,00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
 100,00 keV   1,376E+00  1,403E+00    1342 A       470 A       351 A   
 110,00 keV   1,453E+00  1,356E+00    1470 A       503 A       380 A   
 120,00 keV   1,521E+00  1,313E+00    1597 A       536 A       408 A   
 130,00 keV   1,583E+00  1,272E+00    1725 A       567 A       435 A   
 140,00 keV   1,640E+00  1,235E+00    1852 A       597 A       462 A   
 150,00 keV   1,693E+00  1,200E+00    1979 A       626 A       489 A   
 160,00 keV   1,743E+00  1,167E+00    2106 A       654 A       515 A   
 170,00 keV   1,789E+00  1,136E+00    2232 A       682 A       540 A   
 180,00 keV   1,833E+00  1,107E+00    2359 A       709 A       565 A   
 200,00 keV   1,914E+00  1,054E+00    2612 A       761 A       615 A   
 225,00 keV   2,008E+00  9,960E-01    2928 A       823 A       674 A   
 250,00 keV   2,096E+00  9,448E-01    3242 A       882 A       732 A   
 275,00 keV   2,182E+00  8,994E-01    3554 A       937 A       789 A   
 300,00 keV   2,267E+00  8,589E-01    3864 A       989 A       843 A   
 325,00 keV   2,351E+00  8,224E-01    4171 A      1039 A       896 A   
 350,00 keV   2,437E+00  7,894E-01    4474 A      1086 A       947 A   
 375,00 keV   2,522E+00  7,593E-01    4774 A      1130 A       997 A   
 400,00 keV   2,609E+00  7,318E-01    5069 A      1172 A      1045 A   
 450,00 keV   2,785E+00  6,833E-01    5647 A      1251 A      1137 A   
