 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> giugno 16, 2015 
 ==================================================================

 Disk File Name = SRIM Outputs\Potassium in  H- C- O.txt

 Ion = Potassium [19] , Mass = 38,964 amu

 Target Density =  1,3970E+00 g/cm3 = 9,6311E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    036,36    004,20   
      C      6    045,45    062,50   
      O      8    018,18    033,30   
 ====================================
 Bragg Correction = -4,30%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10,00 keV   6,844E-01  3,827E+00     183 A        53 A        42 A   
  11,00 keV   7,178E-01  3,857E+00     196 A        56 A        45 A   
  12,00 keV   7,497E-01  3,881E+00     210 A        60 A        47 A   
  13,00 keV   7,803E-01  3,899E+00     223 A        63 A        50 A   
  14,00 keV   8,098E-01  3,912E+00     236 A        66 A        52 A   
  15,00 keV   8,382E-01  3,922E+00     250 A        69 A        55 A   
  16,00 keV   8,657E-01  3,928E+00     263 A        72 A        57 A   
  17,00 keV   8,923E-01  3,932E+00     276 A        75 A        60 A   
  18,00 keV   9,182E-01  3,933E+00     289 A        78 A        62 A   
  20,00 keV   9,679E-01  3,929E+00     314 A        84 A        67 A   
  22,50 keV   1,027E+00  3,916E+00     346 A        91 A        73 A   
  25,00 keV   1,082E+00  3,897E+00     378 A        99 A        78 A   
  27,50 keV   1,135E+00  3,873E+00     410 A       106 A        84 A   
  30,00 keV   1,185E+00  3,845E+00     442 A       112 A        89 A   
  32,50 keV   1,234E+00  3,815E+00     473 A       119 A        95 A   
  35,00 keV   1,280E+00  3,783E+00     505 A       126 A       100 A   
  37,50 keV   1,325E+00  3,751E+00     537 A       133 A       105 A   
  40,00 keV   1,369E+00  3,717E+00     568 A       139 A       110 A   
  45,00 keV   1,452E+00  3,649E+00     632 A       152 A       121 A   
