 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> dicembre 01, 2014 
 ==================================================================

 Disk File Name = SRIM Outputs\Potassium in Silicon.txt

 Ion = Potassium [19] , Mass = 38,964 amu

 Target Density =  2,3212E+00 g/cm3 = 4,9770E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Si     14    100,00    100,00   
 ====================================
 Bragg Correction = 0,00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
 100,00 keV   1,525E+00  2,162E+00    1048 A       357 A       263 A   
 110,00 keV   1,621E+00  2,105E+00    1145 A       382 A       285 A   
 120,00 keV   1,698E+00  2,051E+00    1242 A       407 A       305 A   
 130,00 keV   1,762E+00  2,000E+00    1339 A       432 A       325 A   
 140,00 keV   1,818E+00  1,952E+00    1437 A       455 A       345 A   
 150,00 keV   1,868E+00  1,906E+00    1534 A       479 A       365 A   
 160,00 keV   1,914E+00  1,862E+00    1632 A       502 A       384 A   
 170,00 keV   1,957E+00  1,821E+00    1730 A       524 A       403 A   
 180,00 keV   1,999E+00  1,782E+00    1829 A       547 A       422 A   
 200,00 keV   2,077E+00  1,709E+00    2027 A       590 A       459 A   
 225,00 keV   2,168E+00  1,628E+00    2276 A       643 A       505 A   
 250,00 keV   2,254E+00  1,555E+00    2526 A       693 A       550 A   
 275,00 keV   2,336E+00  1,489E+00    2776 A       742 A       595 A   
 300,00 keV   2,416E+00  1,429E+00    3026 A       789 A       639 A   
 325,00 keV   2,495E+00  1,375E+00    3276 A       833 A       681 A   
 350,00 keV   2,573E+00  1,326E+00    3525 A       877 A       724 A   
 375,00 keV   2,651E+00  1,280E+00    3773 A       918 A       765 A   
 400,00 keV   2,729E+00  1,238E+00    4020 A       958 A       806 A   
 450,00 keV   2,884E+00  1,163E+00    4509 A      1034 A       885 A   
