 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> dicembre 01, 2014 
 ==================================================================

 Disk File Name = SRIM Outputs\Rhodium in Silicon.txt

 Ion = Rhodium [45] , Mass = 102,905 amu

 Target Density =  2,3212E+00 g/cm3 = 4,9770E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Si     14    100,00    100,00   
 ====================================
 Bragg Correction = 0,00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
 100,00 keV   7,836E-01  7,448E+00     572 A       155 A       124 A   
 110,00 keV   8,218E-01  7,469E+00     618 A       165 A       132 A   
 120,00 keV   8,584E-01  7,478E+00     663 A       176 A       141 A   
 130,00 keV   8,934E-01  7,478E+00     708 A       186 A       149 A   
 140,00 keV   9,271E-01  7,471E+00     754 A       196 A       157 A   
 150,00 keV   9,597E-01  7,458E+00     799 A       206 A       165 A   
 160,00 keV   9,912E-01  7,441E+00     844 A       217 A       173 A   
 170,00 keV   1,022E+00  7,419E+00     889 A       227 A       182 A   
 180,00 keV   1,051E+00  7,394E+00     935 A       237 A       189 A   
 200,00 keV   1,108E+00  7,338E+00    1025 A       256 A       205 A   
 225,00 keV   1,334E+00  7,257E+00    1138 A       281 A       225 A   
 250,00 keV   1,519E+00  7,169E+00    1250 A       304 A       244 A   
 275,00 keV   1,638E+00  7,078E+00    1361 A       327 A       263 A   
 300,00 keV   1,717E+00  6,985E+00    1472 A       350 A       281 A   
 325,00 keV   1,774E+00  6,891E+00    1584 A       372 A       300 A   
 350,00 keV   1,820E+00  6,797E+00    1697 A       394 A       318 A   
 375,00 keV   1,860E+00  6,705E+00    1810 A       416 A       336 A   
 400,00 keV   1,900E+00  6,613E+00    1925 A       438 A       354 A   
 450,00 keV   1,984E+00  6,436E+00    2156 A       483 A       390 A   
