 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> dicembre 01, 2014 
 ==================================================================

 Disk File Name = SRIM Outputs\Rubidium in Silicon.txt

 Ion = Rubidium [37] , Mass = 84,91 amu

 Target Density =  2,3212E+00 g/cm3 = 4,9770E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Si     14    100,00    100,00   
 ====================================
 Bragg Correction = 0,00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
 100,00 keV   8,225E-01  6,022E+00     642 A       184 A       144 A   
 110,00 keV   8,627E-01  6,003E+00     696 A       197 A       154 A   
 120,00 keV   9,011E-01  5,978E+00     750 A       210 A       165 A   
 130,00 keV   9,378E-01  5,947E+00     805 A       224 A       175 A   
 140,00 keV   9,733E-01  5,913E+00     860 A       237 A       185 A   
 150,00 keV   1,007E+00  5,875E+00     914 A       250 A       195 A   
 160,00 keV   1,040E+00  5,836E+00     969 A       263 A       205 A   
 170,00 keV   1,075E+00  5,795E+00    1024 A       276 A       215 A   
 180,00 keV   1,226E+00  5,753E+00    1079 A       288 A       225 A   
 200,00 keV   1,442E+00  5,667E+00    1187 A       313 A       245 A   
 225,00 keV   1,605E+00  5,557E+00    1320 A       342 A       269 A   
 250,00 keV   1,698E+00  5,448E+00    1454 A       371 A       292 A   
 275,00 keV   1,757E+00  5,341E+00    1589 A       400 A       315 A   
 300,00 keV   1,802E+00  5,237E+00    1725 A       428 A       338 A   
 325,00 keV   1,843E+00  5,136E+00    1863 A       457 A       361 A   
 350,00 keV   1,885E+00  5,038E+00    2002 A       485 A       384 A   
 375,00 keV   1,930E+00  4,944E+00    2143 A       513 A       407 A   
 400,00 keV   1,980E+00  4,853E+00    2285 A       541 A       430 A   
 450,00 keV   2,091E+00  4,682E+00    2572 A       596 A       475 A   
