 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> dicembre 01, 2014 
 ==================================================================

 Disk File Name = SRIM Outputs\Ruthenium in Silicon.txt

 Ion = Ruthenium [44] , Mass = 101,904 amu

 Target Density =  2,3212E+00 g/cm3 = 4,9770E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Si     14    100,00    100,00   
 ====================================
 Bragg Correction = 0,00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
 100,00 keV   7,652E-01  7,297E+00     581 A       157 A       126 A   
 110,00 keV   8,025E-01  7,313E+00     627 A       168 A       134 A   
 120,00 keV   8,382E-01  7,319E+00     674 A       179 A       143 A   
 130,00 keV   8,724E-01  7,316E+00     720 A       189 A       152 A   
 140,00 keV   9,053E-01  7,306E+00     766 A       200 A       160 A   
 150,00 keV   9,371E-01  7,290E+00     812 A       210 A       168 A   
 160,00 keV   9,679E-01  7,270E+00     859 A       221 A       177 A   
 170,00 keV   9,976E-01  7,247E+00     905 A       231 A       185 A   
 180,00 keV   1,027E+00  7,220E+00     951 A       241 A       193 A   
 200,00 keV   1,082E+00  7,160E+00    1044 A       262 A       209 A   
 225,00 keV   1,356E+00  7,076E+00    1159 A       287 A       229 A   
 250,00 keV   1,552E+00  6,986E+00    1273 A       310 A       249 A   
 275,00 keV   1,670E+00  6,893E+00    1386 A       334 A       268 A   
 300,00 keV   1,742E+00  6,798E+00    1499 A       356 A       287 A   
 325,00 keV   1,790E+00  6,703E+00    1613 A       379 A       306 A   
 350,00 keV   1,826E+00  6,609E+00    1728 A       402 A       324 A   
 375,00 keV   1,858E+00  6,516E+00    1844 A       424 A       343 A   
 400,00 keV   1,891E+00  6,424E+00    1962 A       447 A       361 A   
 450,00 keV   1,965E+00  6,247E+00    2199 A       492 A       398 A   
