 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> giugno 16, 2015 
 ==================================================================

 Disk File Name = SRIM Outputs\Scandium in  H- C- O.txt

 Ion = Scandium [21] , Mass = 44,956 amu

 Target Density =  1,3970E+00 g/cm3 = 9,6311E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    036,36    004,20   
      C      6    045,45    062,50   
      O      8    018,18    033,30   
 ====================================
 Bragg Correction = -4,30%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
 100,00 keV   1,821E+00  3,604E+00    1261 A       261 A       212 A   
 110,00 keV   1,898E+00  3,504E+00    1383 A       281 A       229 A   
 120,00 keV   1,974E+00  3,410E+00    1506 A       301 A       247 A   
 130,00 keV   2,048E+00  3,322E+00    1630 A       320 A       264 A   
 140,00 keV   2,121E+00  3,238E+00    1754 A       339 A       281 A   
 150,00 keV   2,194E+00  3,159E+00    1879 A       358 A       298 A   
 160,00 keV   2,267E+00  3,085E+00    2004 A       377 A       315 A   
 170,00 keV   2,339E+00  3,014E+00    2129 A       395 A       331 A   
 180,00 keV   2,410E+00  2,947E+00    2255 A       412 A       348 A   
 200,00 keV   2,550E+00  2,823E+00    2506 A       447 A       381 A   
 225,00 keV   2,720E+00  2,685E+00    2819 A       489 A       421 A   
 250,00 keV   2,883E+00  2,561E+00    3130 A       529 A       460 A   
 275,00 keV   3,039E+00  2,450E+00    3441 A       566 A       499 A   
 300,00 keV   3,187E+00  2,350E+00    3749 A       602 A       537 A   
 325,00 keV   3,327E+00  2,259E+00    4055 A       636 A       573 A   
 350,00 keV   3,460E+00  2,176E+00    4359 A       668 A       609 A   
 375,00 keV   3,586E+00  2,100E+00    4661 A       700 A       644 A   
 400,00 keV   3,706E+00  2,030E+00    4961 A       729 A       678 A   
