 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> dicembre 01, 2014 
 ==================================================================

 Disk File Name = SRIM Outputs\Scandium in Silicon.txt

 Ion = Scandium [21] , Mass = 44,956 amu

 Target Density =  2,3212E+00 g/cm3 = 4,9770E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Si     14    100,00    100,00   
 ====================================
 Bragg Correction = 0,00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
 100,00 keV   1,222E+00  2,627E+00     985 A       331 A       242 A   
 110,00 keV   1,322E+00  2,568E+00    1078 A       356 A       261 A   
 120,00 keV   1,405E+00  2,511E+00    1171 A       381 A       281 A   
 130,00 keV   1,477E+00  2,456E+00    1264 A       405 A       300 A   
 140,00 keV   1,540E+00  2,404E+00    1357 A       429 A       319 A   
 150,00 keV   1,598E+00  2,354E+00    1450 A       452 A       338 A   
 160,00 keV   1,652E+00  2,306E+00    1543 A       475 A       357 A   
 170,00 keV   1,703E+00  2,260E+00    1637 A       497 A       375 A   
 180,00 keV   1,753E+00  2,216E+00    1730 A       519 A       393 A   
 200,00 keV   1,848E+00  2,134E+00    1918 A       562 A       429 A   
 225,00 keV   1,961E+00  2,041E+00    2154 A       614 A       474 A   
 250,00 keV   2,069E+00  1,957E+00    2389 A       664 A       517 A   
 275,00 keV   2,172E+00  1,880E+00    2625 A       712 A       560 A   
 300,00 keV   2,270E+00  1,810E+00    2860 A       758 A       602 A   
 325,00 keV   2,363E+00  1,746E+00    3094 A       802 A       644 A   
 350,00 keV   2,454E+00  1,688E+00    3328 A       844 A       685 A   
 375,00 keV   2,542E+00  1,633E+00    3560 A       885 A       725 A   
 400,00 keV   2,627E+00  1,583E+00    3792 A       925 A       764 A   
 450,00 keV   2,791E+00  1,492E+00    4251 A      1000 A       840 A   
