 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> giugno 16, 2015 
 ==================================================================

 Disk File Name = SRIM Outputs\Selenium in  H- C- O.txt

 Ion = Selenium [34] , Mass = 79,92 amu

 Target Density =  1,3970E+00 g/cm3 = 9,6311E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    036,36    004,20   
      C      6    045,45    062,50   
      O      8    018,18    033,30   
 ====================================
 Bragg Correction = -4,30%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
 100,00 keV   1,314E+00  7,233E+00     905 A       165 A       141 A   
 110,00 keV   1,378E+00  7,171E+00     983 A       177 A       151 A   
 120,00 keV   1,440E+00  7,104E+00    1062 A       189 A       161 A   
 130,00 keV   1,498E+00  7,034E+00    1140 A       201 A       172 A   
 140,00 keV   1,555E+00  6,962E+00    1219 A       212 A       182 A   
 150,00 keV   1,610E+00  6,889E+00    1298 A       224 A       192 A   
 160,00 keV   1,663E+00  6,815E+00    1378 A       235 A       202 A   
 170,00 keV   1,766E+00  6,742E+00    1457 A       247 A       212 A   
 180,00 keV   1,845E+00  6,669E+00    1537 A       258 A       222 A   
 200,00 keV   1,960E+00  6,525E+00    1696 A       280 A       242 A   
 225,00 keV   2,061E+00  6,352E+00    1897 A       308 A       267 A   
 250,00 keV   2,145E+00  6,186E+00    2099 A       335 A       291 A   
 275,00 keV   2,224E+00  6,027E+00    2304 A       362 A       316 A   
 300,00 keV   2,305E+00  5,877E+00    2512 A       388 A       340 A   
 325,00 keV   2,389E+00  5,735E+00    2721 A       414 A       364 A   
 350,00 keV   2,476E+00  5,599E+00    2932 A       440 A       388 A   
 375,00 keV   2,568E+00  5,471E+00    3144 A       466 A       412 A   
 400,00 keV   2,662E+00  5,349E+00    3357 A       491 A       437 A   
