 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> dicembre 01, 2014 
 ==================================================================

 Disk File Name = SRIM Outputs\Selenium in Silicon.txt

 Ion = Selenium [34] , Mass = 79,92 amu

 Target Density =  2,3212E+00 g/cm3 = 4,9770E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Si     14    100,00    100,00   
 ====================================
 Bragg Correction = 0,00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
 100,00 keV   8,310E-01  5,480E+00     679 A       197 A       153 A   
 110,00 keV   8,715E-01  5,449E+00     738 A       212 A       165 A   
 120,00 keV   9,103E-01  5,414E+00     797 A       227 A       176 A   
 130,00 keV   9,474E-01  5,375E+00     856 A       241 A       187 A   
 140,00 keV   9,832E-01  5,334E+00     916 A       256 A       198 A   
 150,00 keV   1,018E+00  5,290E+00     975 A       270 A       209 A   
 160,00 keV   1,052E+00  5,246E+00    1035 A       285 A       220 A   
 170,00 keV   1,158E+00  5,200E+00    1095 A       299 A       231 A   
 180,00 keV   1,245E+00  5,154E+00    1154 A       312 A       242 A   
 200,00 keV   1,373E+00  5,062E+00    1272 A       339 A       263 A   
 225,00 keV   1,482E+00  4,948E+00    1420 A       373 A       290 A   
 250,00 keV   1,558E+00  4,837E+00    1569 A       405 A       316 A   
 275,00 keV   1,621E+00  4,729E+00    1720 A       438 A       342 A   
 300,00 keV   1,679E+00  4,625E+00    1872 A       470 A       367 A   
 325,00 keV   1,736E+00  4,525E+00    2026 A       502 A       393 A   
 350,00 keV   1,795E+00  4,430E+00    2181 A       533 A       419 A   
 375,00 keV   1,856E+00  4,339E+00    2337 A       564 A       444 A   
 400,00 keV   1,919E+00  4,251E+00    2494 A       595 A       470 A   
 450,00 keV   2,048E+00  4,088E+00    2811 A       656 A       521 A   
