 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> giugno 16, 2015 
 ==================================================================

 Disk File Name = SRIM Outputs\Silicon in  H- C- O.txt

 Ion = Silicon [14] , Mass = 27,977 amu

 Target Density =  1,3970E+00 g/cm3 = 9,6311E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    036,36    004,20   
      C      6    045,45    062,50   
      O      8    018,18    033,30   
 ====================================
 Bragg Correction = -4,30%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10,00 keV   7,263E-01  2,772E+00     213 A        67 A        52 A   
  11,00 keV   7,617E-01  2,770E+00     230 A        72 A        55 A   
  12,00 keV   7,956E-01  2,764E+00     247 A        77 A        59 A   
  13,00 keV   8,281E-01  2,755E+00     264 A        81 A        62 A   
  14,00 keV   8,593E-01  2,745E+00     281 A        86 A        66 A   
  15,00 keV   8,895E-01  2,733E+00     298 A        90 A        69 A   
  16,00 keV   9,187E-01  2,719E+00     315 A        94 A        72 A   
  17,00 keV   9,470E-01  2,704E+00     332 A        99 A        75 A   
  18,00 keV   9,744E-01  2,689E+00     349 A       103 A        79 A   
  20,00 keV   1,027E+00  2,657E+00     382 A       111 A        85 A   
  22,50 keV   1,089E+00  2,614E+00     424 A       121 A        93 A   
  25,00 keV   1,148E+00  2,571E+00     467 A       131 A       101 A   
  27,50 keV   1,204E+00  2,527E+00     509 A       141 A       108 A   
  30,00 keV   1,258E+00  2,484E+00     551 A       151 A       116 A   
  32,50 keV   1,309E+00  2,442E+00     593 A       160 A       123 A   
  35,00 keV   1,359E+00  2,401E+00     635 A       169 A       130 A   
  37,50 keV   1,406E+00  2,361E+00     677 A       178 A       137 A   
  40,00 keV   1,453E+00  2,322E+00     720 A       187 A       145 A   
  45,00 keV   1,541E+00  2,247E+00     804 A       205 A       159 A   
