 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> dicembre 01, 2014 
 ==================================================================

 Disk File Name = SRIM Outputs\Silicon in Silicon.txt

 Ion = Silicon [14] , Mass = 27,977 amu

 Target Density =  2,3212E+00 g/cm3 = 4,9770E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Si     14    100,00    100,00   
 ====================================
 Bragg Correction = 0,00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
 100,00 keV   1,535E+00  1,199E+00    1375 A       476 A       363 A   
 110,00 keV   1,593E+00  1,156E+00    1507 A       509 A       391 A   
 120,00 keV   1,642E+00  1,117E+00    1638 A       541 A       419 A   
 130,00 keV   1,685E+00  1,080E+00    1770 A       572 A       447 A   
 140,00 keV   1,722E+00  1,047E+00    1903 A       603 A       474 A   
 150,00 keV   1,756E+00  1,015E+00    2036 A       632 A       500 A   
 160,00 keV   1,787E+00  9,860E-01    2169 A       662 A       526 A   
 170,00 keV   1,816E+00  9,588E-01    2304 A       690 A       552 A   
 180,00 keV   1,843E+00  9,332E-01    2438 A       718 A       578 A   
 200,00 keV   1,895E+00  8,866E-01    2709 A       773 A       629 A   
 225,00 keV   1,959E+00  8,356E-01    3049 A       838 A       691 A   
 250,00 keV   2,026E+00  7,910E-01    3389 A       901 A       752 A   
 275,00 keV   2,096E+00  7,516E-01    3728 A       960 A       812 A   
 300,00 keV   2,171E+00  7,166E-01    4065 A      1016 A       870 A   
 325,00 keV   2,251E+00  6,852E-01    4398 A      1068 A       927 A   
 350,00 keV   2,335E+00  6,568E-01    4726 A      1118 A       982 A   
 375,00 keV   2,424E+00  6,311E-01    5050 A      1165 A      1035 A   
 400,00 keV   2,515E+00  6,076E-01    5367 A      1209 A      1087 A   
 450,00 keV   2,708E+00  5,662E-01    5984 A      1291 A      1185 A   
