 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> dicembre 01, 2014 
 ==================================================================

 Disk File Name = SRIM Outputs\Silver in Silicon.txt

 Ion = Silver [47] , Mass = 106,905 amu

 Target Density =  2,3212E+00 g/cm3 = 4,9770E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Si     14    100,00    100,00   
 ====================================
 Bragg Correction = 0,00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
 100,00 keV   1,333E+00  7,771E+00     537 A       141 A       114 A   
 110,00 keV   1,398E+00  7,802E+00     579 A       150 A       121 A   
 120,00 keV   1,460E+00  7,820E+00     620 A       159 A       129 A   
 130,00 keV   1,520E+00  7,829E+00     661 A       168 A       136 A   
 140,00 keV   1,577E+00  7,829E+00     702 A       177 A       143 A   
 150,00 keV   1,632E+00  7,823E+00     742 A       185 A       150 A   
 160,00 keV   1,686E+00  7,811E+00     783 A       194 A       157 A   
 170,00 keV   1,738E+00  7,796E+00     823 A       203 A       164 A   
 180,00 keV   1,788E+00  7,776E+00     863 A       211 A       171 A   
 200,00 keV   1,885E+00  7,728E+00     944 A       228 A       185 A   
 225,00 keV   1,990E+00  7,656E+00    1044 A       248 A       202 A   
 250,00 keV   2,084E+00  7,576E+00    1145 A       269 A       218 A   
 275,00 keV   2,178E+00  7,491E+00    1246 A       289 A       234 A   
 300,00 keV   2,270E+00  7,402E+00    1347 A       308 A       251 A   
 325,00 keV   2,360E+00  7,312E+00    1448 A       328 A       267 A   
 350,00 keV   2,447E+00  7,221E+00    1549 A       347 A       282 A   
 375,00 keV   2,532E+00  7,130E+00    1651 A       366 A       298 A   
 400,00 keV   2,614E+00  7,040E+00    1752 A       385 A       314 A   
 450,00 keV   2,770E+00  6,864E+00    1957 A       422 A       345 A   
