 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> giugno 16, 2015 
 ==================================================================

 Disk File Name = SRIM Outputs\Sodium in  H- C- O.txt

 Ion = Sodium [11] , Mass = 22,99 amu

 Target Density =  1,3970E+00 g/cm3 = 9,6311E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    036,36    004,20   
      C      6    045,45    062,50   
      O      8    018,18    033,30   
 ====================================
 Bragg Correction = -4,30%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10,00 keV   4,582E-01  2,086E+00     264 A        90 A        67 A   
  11,00 keV   4,806E-01  2,070E+00     287 A        97 A        72 A   
  12,00 keV   5,019E-01  2,053E+00     311 A       104 A        77 A   
  13,00 keV   5,224E-01  2,034E+00     334 A       110 A        81 A   
  14,00 keV   5,421E-01  2,015E+00     358 A       117 A        86 A   
  15,00 keV   5,612E-01  1,995E+00     381 A       124 A        91 A   
  16,00 keV   5,796E-01  1,975E+00     405 A       130 A        96 A   
  17,00 keV   5,974E-01  1,955E+00     429 A       137 A       101 A   
  18,00 keV   6,147E-01  1,935E+00     452 A       143 A       105 A   
  20,00 keV   6,480E-01  1,896E+00     500 A       156 A       115 A   
  22,50 keV   6,873E-01  1,847E+00     561 A       172 A       126 A   
  25,00 keV   7,245E-01  1,801E+00     622 A       187 A       138 A   
  27,50 keV   7,598E-01  1,757E+00     683 A       203 A       150 A   
  30,00 keV   7,936E-01  1,715E+00     745 A       218 A       161 A   
  32,50 keV   8,260E-01  1,674E+00     807 A       233 A       173 A   
  35,00 keV   8,572E-01  1,636E+00     870 A       248 A       184 A   
  37,50 keV   8,873E-01  1,600E+00     933 A       262 A       195 A   
  40,00 keV   9,164E-01  1,565E+00     996 A       276 A       207 A   
  45,00 keV   9,720E-01  1,501E+00    1124 A       304 A       230 A   
