 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> dicembre 01, 2014 
 ==================================================================

 Disk File Name = SRIM Outputs\Sodium in Silicon.txt

 Ion = Sodium [11] , Mass = 22,99 amu

 Target Density =  2,3212E+00 g/cm3 = 4,9770E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Si     14    100,00    100,00   
 ====================================
 Bragg Correction = 0,00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
 100,00 keV   9,844E-01  7,539E-01    1982 A       719 A       556 A   
 110,00 keV   1,021E+00  7,225E-01    2185 A       773 A       602 A   
 120,00 keV   1,057E+00  6,940E-01    2388 A       824 A       649 A   
 130,00 keV   1,093E+00  6,680E-01    2592 A       874 A       694 A   
 140,00 keV   1,128E+00  6,442E-01    2796 A       922 A       739 A   
 150,00 keV   1,164E+00  6,223E-01    3000 A       969 A       784 A   
 160,00 keV   1,200E+00  6,021E-01    3203 A      1014 A       827 A   
 170,00 keV   1,237E+00  5,834E-01    3405 A      1058 A       871 A   
 180,00 keV   1,273E+00  5,661E-01    3606 A      1099 A       913 A   
 200,00 keV   1,346E+00  5,347E-01    4004 A      1179 A       995 A   
 225,00 keV   1,439E+00  5,008E-01    4494 A      1271 A      1094 A   
 250,00 keV   1,532E+00  4,715E-01    4972 A      1355 A      1188 A   
 275,00 keV   1,626E+00  4,460E-01    5438 A      1432 A      1277 A   
 300,00 keV   1,720E+00  4,234E-01    5892 A      1502 A      1361 A   
 325,00 keV   1,814E+00  4,034E-01    6334 A      1567 A      1441 A   
 350,00 keV   1,909E+00  3,854E-01    6763 A      1626 A      1516 A   
 375,00 keV   2,003E+00  3,692E-01    7180 A      1681 A      1587 A   
 400,00 keV   2,097E+00  3,545E-01    7586 A      1731 A      1655 A   
