 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> dicembre 01, 2014 
 ==================================================================

 Disk File Name = SRIM Outputs\Strontium in Silicon.txt

 Ion = Strontium [38] , Mass = 87,91 amu

 Target Density =  2,3212E+00 g/cm3 = 4,9770E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Si     14    100,00    100,00   
 ====================================
 Bragg Correction = 0,00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
 100,00 keV   8,355E-01  6,223E+00     630 A       178 A       140 A   
 110,00 keV   8,763E-01  6,210E+00     683 A       191 A       150 A   
 120,00 keV   9,153E-01  6,189E+00     736 A       204 A       160 A   
 130,00 keV   9,526E-01  6,162E+00     789 A       216 A       170 A   
 140,00 keV   9,886E-01  6,131E+00     842 A       229 A       180 A   
 150,00 keV   1,023E+00  6,097E+00     895 A       241 A       190 A   
 160,00 keV   1,057E+00  6,060E+00     948 A       254 A       199 A   
 170,00 keV   1,089E+00  6,022E+00    1001 A       266 A       209 A   
 180,00 keV   1,167E+00  5,981E+00    1054 A       278 A       218 A   
 200,00 keV   1,388E+00  5,899E+00    1160 A       302 A       237 A   
 225,00 keV   1,559E+00  5,792E+00    1290 A       331 A       260 A   
 250,00 keV   1,662E+00  5,685E+00    1421 A       359 A       283 A   
 275,00 keV   1,730E+00  5,580E+00    1552 A       387 A       306 A   
 300,00 keV   1,782E+00  5,476E+00    1684 A       414 A       328 A   
 325,00 keV   1,829E+00  5,375E+00    1818 A       441 A       350 A   
 350,00 keV   1,875E+00  5,278E+00    1953 A       469 A       372 A   
 375,00 keV   1,925E+00  5,183E+00    2090 A       496 A       394 A   
 400,00 keV   1,978E+00  5,092E+00    2227 A       522 A       416 A   
 450,00 keV   2,093E+00  4,918E+00    2505 A       576 A       460 A   
