 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> giugno 16, 2015 
 ==================================================================

 Disk File Name = SRIM Outputs\Sulfur in  H- C- O.txt

 Ion = Sulfur [16] , Mass = 31,972 amu

 Target Density =  1,3970E+00 g/cm3 = 9,6311E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    036,36    004,20   
      C      6    045,45    062,50   
      O      8    018,18    033,30   
 ====================================
 Bragg Correction = -4,30%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10,00 keV   7,239E-01  3,213E+00     197 A        60 A        47 A   
  11,00 keV   7,592E-01  3,222E+00     213 A        64 A        50 A   
  12,00 keV   7,930E-01  3,227E+00     228 A        68 A        53 A   
  13,00 keV   8,254E-01  3,228E+00     243 A        72 A        56 A   
  14,00 keV   8,565E-01  3,226E+00     258 A        76 A        59 A   
  15,00 keV   8,866E-01  3,222E+00     273 A        80 A        62 A   
  16,00 keV   9,157E-01  3,215E+00     288 A        84 A        65 A   
  17,00 keV   9,438E-01  3,206E+00     303 A        87 A        68 A   
  18,00 keV   9,712E-01  3,196E+00     318 A        91 A        71 A   
  20,00 keV   1,024E+00  3,173E+00     348 A        98 A        76 A   
  22,50 keV   1,086E+00  3,140E+00     385 A       107 A        83 A   
  25,00 keV   1,145E+00  3,103E+00     422 A       115 A        90 A   
  27,50 keV   1,200E+00  3,065E+00     459 A       124 A        96 A   
  30,00 keV   1,254E+00  3,026E+00     496 A       132 A       103 A   
  32,50 keV   1,305E+00  2,986E+00     533 A       140 A       109 A   
  35,00 keV   1,354E+00  2,947E+00     570 A       148 A       115 A   
  37,50 keV   1,402E+00  2,908E+00     607 A       156 A       122 A   
  40,00 keV   1,448E+00  2,869E+00     644 A       164 A       128 A   
  45,00 keV   1,536E+00  2,794E+00     718 A       180 A       140 A   
