 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> dicembre 01, 2014 
 ==================================================================

 Disk File Name = SRIM Outputs\Sulfur in Silicon.txt

 Ion = Sulfur [16] , Mass = 31,972 amu

 Target Density =  2,3212E+00 g/cm3 = 4,9770E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Si     14    100,00    100,00   
 ====================================
 Bragg Correction = 0,00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
 100,00 keV   1,488E+00  1,554E+00    1222 A       423 A       315 A   
 110,00 keV   1,541E+00  1,504E+00    1340 A       454 A       341 A   
 120,00 keV   1,588E+00  1,458E+00    1459 A       485 A       366 A   
 130,00 keV   1,631E+00  1,415E+00    1578 A       514 A       390 A   
 140,00 keV   1,672E+00  1,375E+00    1698 A       544 A       415 A   
 150,00 keV   1,711E+00  1,338E+00    1819 A       572 A       439 A   
 160,00 keV   1,749E+00  1,302E+00    1940 A       600 A       463 A   
 170,00 keV   1,786E+00  1,269E+00    2061 A       628 A       487 A   
 180,00 keV   1,822E+00  1,238E+00    2183 A       655 A       510 A   
 200,00 keV   1,893E+00  1,181E+00    2427 A       707 A       557 A   
 225,00 keV   1,980E+00  1,117E+00    2733 A       770 A       615 A   
 250,00 keV   2,066E+00  1,062E+00    3037 A       829 A       671 A   
 275,00 keV   2,153E+00  1,012E+00    3341 A       886 A       726 A   
 300,00 keV   2,240E+00  9,674E-01    3642 A       939 A       780 A   
 325,00 keV   2,329E+00  9,273E-01    3940 A       990 A       832 A   
 350,00 keV   2,419E+00  8,909E-01    4235 A      1038 A       884 A   
 375,00 keV   2,510E+00  8,577E-01    4526 A      1083 A       933 A   
 400,00 keV   2,601E+00  8,273E-01    4813 A      1126 A       981 A   
 450,00 keV   2,787E+00  7,734E-01    5375 A      1206 A      1074 A   
