 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> dicembre 01, 2014 
 ==================================================================

 Disk File Name = SRIM Outputs\Technetium in Silicon.txt

 Ion = Technetium [43] , Mass = 97 amu

 Target Density =  2,3212E+00 g/cm3 = 4,9770E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Si     14    100,00    100,00   
 ====================================
 Bragg Correction = 0,00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
 100,00 keV   7,937E-01  7,087E+00     586 A       161 A       128 A   
 110,00 keV   8,324E-01  7,096E+00     633 A       173 A       137 A   
 120,00 keV   8,694E-01  7,094E+00     681 A       184 A       146 A   
 130,00 keV   9,049E-01  7,085E+00     728 A       195 A       155 A   
 140,00 keV   9,391E-01  7,070E+00     775 A       206 A       164 A   
 150,00 keV   9,721E-01  7,049E+00     823 A       217 A       172 A   
 160,00 keV   1,004E+00  7,025E+00     870 A       228 A       181 A   
 170,00 keV   1,035E+00  6,997E+00     917 A       238 A       189 A   
 180,00 keV   1,065E+00  6,967E+00     965 A       249 A       198 A   
 200,00 keV   1,189E+00  6,900E+00    1059 A       270 A       214 A   
 225,00 keV   1,447E+00  6,809E+00    1177 A       296 A       235 A   
 250,00 keV   1,603E+00  6,714E+00    1292 A       320 A       255 A   
 275,00 keV   1,698E+00  6,616E+00    1408 A       344 A       275 A   
 300,00 keV   1,760E+00  6,518E+00    1525 A       368 A       295 A   
 325,00 keV   1,805E+00  6,420E+00    1642 A       392 A       314 A   
 350,00 keV   1,844E+00  6,324E+00    1761 A       416 A       333 A   
 375,00 keV   1,882E+00  6,229E+00    1880 A       439 A       353 A   
 400,00 keV   1,922E+00  6,136E+00    2001 A       463 A       372 A   
 450,00 keV   2,011E+00  5,958E+00    2245 A       510 A       410 A   
