 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> giugno 16, 2015 
 ==================================================================

 Disk File Name = SRIM Outputs\Titanium in  H- C- O.txt

 Ion = Titanium [22] , Mass = 47,95 amu

 Target Density =  1,3970E+00 g/cm3 = 9,6311E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    036,36    004,20   
      C      6    045,45    062,50   
      O      8    018,18    033,30   
 ====================================
 Bragg Correction = -4,30%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
 100,00 keV   1,634E+00  3,910E+00    1239 A       255 A       208 A   
 110,00 keV   1,794E+00  3,810E+00    1358 A       275 A       225 A   
 120,00 keV   1,939E+00  3,714E+00    1476 A       294 A       242 A   
 130,00 keV   2,071E+00  3,624E+00    1593 A       312 A       258 A   
 140,00 keV   2,192E+00  3,538E+00    1709 A       330 A       275 A   
 150,00 keV   2,304E+00  3,457E+00    1826 A       348 A       291 A   
 160,00 keV   2,408E+00  3,380E+00    1941 A       364 A       307 A   
 170,00 keV   2,504E+00  3,306E+00    2057 A       381 A       322 A   
 180,00 keV   2,594E+00  3,236E+00    2172 A       397 A       338 A   
 200,00 keV   2,757E+00  3,107E+00    2402 A       428 A       368 A   
 225,00 keV   2,934E+00  2,960E+00    2689 A       466 A       405 A   
 250,00 keV   3,088E+00  2,829E+00    2976 A       502 A       441 A   
 275,00 keV   3,223E+00  2,712E+00    3262 A       536 A       476 A   
 300,00 keV   3,343E+00  2,605E+00    3548 A       569 A       510 A   
 325,00 keV   3,451E+00  2,507E+00    3835 A       601 A       544 A   
 350,00 keV   3,549E+00  2,418E+00    4121 A       631 A       577 A   
 375,00 keV   3,639E+00  2,336E+00    4407 A       661 A       609 A   
 400,00 keV   3,723E+00  2,260E+00    4694 A       690 A       641 A   
