 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> dicembre 01, 2014 
 ==================================================================

 Disk File Name = SRIM Outputs\Titanium in Silicon.txt

 Ion = Titanium [22] , Mass = 47,95 amu

 Target Density =  2,3212E+00 g/cm3 = 4,9770E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Si     14    100,00    100,00   
 ====================================
 Bragg Correction = 0,00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
 100,00 keV   1,060E+00  2,862E+00     962 A       321 A       234 A   
 110,00 keV   1,220E+00  2,802E+00    1052 A       346 A       254 A   
 120,00 keV   1,359E+00  2,745E+00    1142 A       370 A       273 A   
 130,00 keV   1,479E+00  2,689E+00    1230 A       393 A       292 A   
 140,00 keV   1,583E+00  2,635E+00    1317 A       415 A       310 A   
 150,00 keV   1,674E+00  2,584E+00    1404 A       436 A       328 A   
 160,00 keV   1,754E+00  2,534E+00    1490 A       456 A       346 A   
 170,00 keV   1,825E+00  2,486E+00    1576 A       476 A       363 A   
 180,00 keV   1,889E+00  2,441E+00    1662 A       496 A       380 A   
 200,00 keV   2,002E+00  2,355E+00    1834 A       535 A       414 A   
 225,00 keV   2,121E+00  2,257E+00    2049 A       581 A       455 A   
 250,00 keV   2,222E+00  2,167E+00    2265 A       626 A       494 A   
 275,00 keV   2,310E+00  2,086E+00    2482 A       670 A       533 A   
 300,00 keV   2,387E+00  2,011E+00    2699 A       712 A       572 A   
 325,00 keV   2,457E+00  1,943E+00    2918 A       753 A       609 A   
 350,00 keV   2,521E+00  1,880E+00    3137 A       793 A       646 A   
 375,00 keV   2,581E+00  1,821E+00    3357 A       832 A       683 A   
 400,00 keV   2,638E+00  1,767E+00    3578 A       871 A       719 A   
 450,00 keV   2,748E+00  1,669E+00    4021 A       945 A       790 A   
