 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> giugno 16, 2015 
 ==================================================================

 Disk File Name = SRIM Outputs\Vanadium in  H- C- O.txt

 Ion = Vanadium [23] , Mass = 50,94 amu

 Target Density =  1,3970E+00 g/cm3 = 9,6311E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    036,36    004,20   
      C      6    045,45    062,50   
      O      8    018,18    033,30   
 ====================================
 Bragg Correction = -4,30%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
 100,00 keV   2,199E+00  4,215E+00    1119 A       221 A       183 A   
 110,00 keV   2,264E+00  4,114E+00    1223 A       237 A       197 A   
 120,00 keV   2,328E+00  4,018E+00    1328 A       254 A       211 A   
 130,00 keV   2,396E+00  3,927E+00    1434 A       270 A       225 A   
 140,00 keV   2,467E+00  3,839E+00    1540 A       285 A       239 A   
 150,00 keV   2,537E+00  3,756E+00    1647 A       301 A       253 A   
 160,00 keV   2,606E+00  3,677E+00    1754 A       316 A       267 A   
 170,00 keV   2,673E+00  3,601E+00    1861 A       331 A       281 A   
 180,00 keV   2,738E+00  3,529E+00    1968 A       346 A       294 A   
 200,00 keV   2,861E+00  3,394E+00    2184 A       375 A       321 A   
 225,00 keV   3,000E+00  3,241E+00    2455 A       411 A       354 A   
 250,00 keV   3,124E+00  3,104E+00    2728 A       445 A       387 A   
 275,00 keV   3,236E+00  2,979E+00    3001 A       478 A       420 A   
 300,00 keV   3,338E+00  2,866E+00    3276 A       510 A       451 A   
 325,00 keV   3,431E+00  2,763E+00    3551 A       541 A       483 A   
 350,00 keV   3,516E+00  2,668E+00    3828 A       571 A       514 A   
 375,00 keV   3,595E+00  2,580E+00    4105 A       600 A       545 A   
 400,00 keV   3,669E+00  2,499E+00    4383 A       629 A       576 A   
