 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> dicembre 01, 2014 
 ==================================================================

 Disk File Name = SRIM Outputs\Vanadium in Silicon.txt

 Ion = Vanadium [23] , Mass = 50,94 amu

 Target Density =  2,3212E+00 g/cm3 = 4,9770E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Si     14    100,00    100,00   
 ====================================
 Bragg Correction = 0,00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
 100,00 keV   1,390E+00  3,097E+00     874 A       280 A       208 A   
 110,00 keV   1,497E+00  3,038E+00     955 A       301 A       225 A   
 120,00 keV   1,600E+00  2,980E+00    1036 A       322 A       241 A   
 130,00 keV   1,689E+00  2,923E+00    1116 A       342 A       256 A   
 140,00 keV   1,766E+00  2,869E+00    1196 A       362 A       272 A   
 150,00 keV   1,834E+00  2,816E+00    1276 A       381 A       288 A   
 160,00 keV   1,894E+00  2,765E+00    1356 A       400 A       303 A   
 170,00 keV   1,947E+00  2,716E+00    1437 A       418 A       318 A   
 180,00 keV   1,996E+00  2,669E+00    1517 A       437 A       333 A   
 200,00 keV   2,081E+00  2,580E+00    1679 A       473 A       363 A   
 225,00 keV   2,174E+00  2,477E+00    1883 A       517 A       399 A   
 250,00 keV   2,254E+00  2,383E+00    2088 A       560 A       435 A   
 275,00 keV   2,326E+00  2,297E+00    2295 A       602 A       471 A   
 300,00 keV   2,389E+00  2,218E+00    2504 A       643 A       507 A   
 325,00 keV   2,448E+00  2,146E+00    2714 A       683 A       542 A   
 350,00 keV   2,502E+00  2,078E+00    2925 A       722 A       576 A   
 375,00 keV   2,553E+00  2,015E+00    3138 A       760 A       611 A   
 400,00 keV   2,602E+00  1,957E+00    3351 A       798 A       645 A   
 450,00 keV   2,697E+00  1,852E+00    3782 A       872 A       714 A   
