 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> dicembre 01, 2014 
 ==================================================================

 Disk File Name = SRIM Outputs\Yttrium in Silicon.txt

 Ion = Yttrium [39] , Mass = 88,906 amu

 Target Density =  2,3212E+00 g/cm3 = 4,9770E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Si     14    100,00    100,00   
 ====================================
 Bragg Correction = 0,00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
 100,00 keV   8,835E-01  6,386E+00     617 A       174 A       137 A   
 110,00 keV   9,266E-01  6,376E+00     668 A       186 A       147 A   
 120,00 keV   9,678E-01  6,358E+00     720 A       199 A       157 A   
 130,00 keV   1,007E+00  6,334E+00     771 A       211 A       166 A   
 140,00 keV   1,045E+00  6,305E+00     822 A       223 A       176 A   
 150,00 keV   1,082E+00  6,273E+00     874 A       235 A       185 A   
 160,00 keV   1,118E+00  6,238E+00     925 A       247 A       194 A   
 170,00 keV   1,152E+00  6,201E+00     977 A       259 A       204 A   
 180,00 keV   1,213E+00  6,163E+00    1028 A       271 A       213 A   
 200,00 keV   1,464E+00  6,082E+00    1130 A       293 A       231 A   
 225,00 keV   1,658E+00  5,978E+00    1256 A       321 A       253 A   
 250,00 keV   1,772E+00  5,872E+00    1382 A       348 A       275 A   
 275,00 keV   1,845E+00  5,767E+00    1508 A       374 A       297 A   
 300,00 keV   1,899E+00  5,664E+00    1635 A       400 A       318 A   
 325,00 keV   1,945E+00  5,563E+00    1763 A       427 A       340 A   
 350,00 keV   1,991E+00  5,465E+00    1893 A       452 A       361 A   
 375,00 keV   2,040E+00  5,370E+00    2024 A       478 A       382 A   
 400,00 keV   2,093E+00  5,278E+00    2156 A       504 A       403 A   
 450,00 keV   2,209E+00  5,103E+00    2423 A       555 A       445 A   
