 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> giugno 16, 2015 
 ==================================================================

 Disk File Name = SRIM Outputs\Zinc in  H- C- O.txt

 Ion = Zinc [30] , Mass = 63,93 amu

 Target Density =  1,3970E+00 g/cm3 = 9,6311E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    036,36    004,20   
      C      6    045,45    062,50   
      O      8    018,18    033,30   
 ====================================
 Bragg Correction = -4,30%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
 100,00 keV   1,525E+00  6,059E+00     970 A       189 A       158 A   
 110,00 keV   1,599E+00  5,971E+00    1057 A       203 A       170 A   
 120,00 keV   1,670E+00  5,881E+00    1146 A       217 A       182 A   
 130,00 keV   1,743E+00  5,793E+00    1234 A       231 A       194 A   
 140,00 keV   1,821E+00  5,706E+00    1323 A       245 A       206 A   
 150,00 keV   1,888E+00  5,620E+00    1412 A       259 A       218 A   
 160,00 keV   1,947E+00  5,536E+00    1501 A       272 A       230 A   
 170,00 keV   2,001E+00  5,454E+00    1591 A       285 A       242 A   
 180,00 keV   2,053E+00  5,375E+00    1682 A       299 A       253 A   
 200,00 keV   2,153E+00  5,222E+00    1864 A       325 A       277 A   
 225,00 keV   2,276E+00  5,043E+00    2093 A       358 A       306 A   
 250,00 keV   2,398E+00  4,876E+00    2325 A       390 A       335 A   
 275,00 keV   2,522E+00  4,722E+00    2559 A       421 A       363 A   
 300,00 keV   2,646E+00  4,578E+00    2793 A       452 A       392 A   
 325,00 keV   2,769E+00  4,444E+00    3029 A       481 A       420 A   
 350,00 keV   2,890E+00  4,319E+00    3265 A       510 A       448 A   
 375,00 keV   3,010E+00  4,201E+00    3501 A       539 A       476 A   
 400,00 keV   3,128E+00  4,091E+00    3738 A       566 A       504 A   
