 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> dicembre 01, 2014 
 ==================================================================

 Disk File Name = SRIM Outputs\Zinc in Silicon.txt

 Ion = Zinc [30] , Mass = 63,93 amu

 Target Density =  2,3212E+00 g/cm3 = 4,9770E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Si     14    100,00    100,00   
 ====================================
 Bragg Correction = 0,00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
 100,00 keV   9,641E-01  4,506E+00     739 A       231 A       174 A   
 110,00 keV   1,011E+00  4,458E+00     806 A       249 A       188 A   
 120,00 keV   1,056E+00  4,407E+00     873 A       267 A       201 A   
 130,00 keV   1,114E+00  4,355E+00     941 A       285 A       214 A   
 140,00 keV   1,213E+00  4,302E+00    1008 A       302 A       227 A   
 150,00 keV   1,295E+00  4,250E+00    1075 A       319 A       240 A   
 160,00 keV   1,365E+00  4,198E+00    1142 A       336 A       253 A   
 170,00 keV   1,424E+00  4,146E+00    1209 A       352 A       266 A   
 180,00 keV   1,476E+00  4,096E+00    1276 A       368 A       279 A   
 200,00 keV   1,564E+00  3,997E+00    1411 A       401 A       304 A   
 225,00 keV   1,658E+00  3,879E+00    1581 A       440 A       335 A   
 250,00 keV   1,745E+00  3,767E+00    1752 A       479 A       366 A   
 275,00 keV   1,830E+00  3,662E+00    1925 A       517 A       397 A   
 300,00 keV   1,913E+00  3,562E+00    2099 A       555 A       428 A   
 325,00 keV   1,995E+00  3,469E+00    2274 A       592 A       458 A   
 350,00 keV   2,076E+00  3,381E+00    2450 A       628 A       488 A   
 375,00 keV   2,155E+00  3,298E+00    2627 A       664 A       518 A   
 400,00 keV   2,233E+00  3,219E+00    2804 A       699 A       548 A   
 450,00 keV   2,384E+00  3,074E+00    3160 A       767 A       608 A   
