 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> dicembre 01, 2014 
 ==================================================================

 Disk File Name = SRIM Outputs\Zirconium in Silicon.txt

 Ion = Zirconium [40] , Mass = 89,9 amu

 Target Density =  2,3212E+00 g/cm3 = 4,9770E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Si     14    100,00    100,00   
 ====================================
 Bragg Correction = 0,00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
 100,00 keV   8,134E-01  6,547E+00     611 A       172 A       136 A   
 110,00 keV   8,531E-01  6,541E+00     661 A       185 A       146 A   
 120,00 keV   8,911E-01  6,526E+00     712 A       197 A       155 A   
 130,00 keV   9,274E-01  6,505E+00     762 A       209 A       165 A   
 140,00 keV   9,624E-01  6,479E+00     813 A       221 A       174 A   
 150,00 keV   9,962E-01  6,449E+00     864 A       233 A       183 A   
 160,00 keV   1,029E+00  6,416E+00     915 A       245 A       193 A   
 170,00 keV   1,061E+00  6,380E+00     966 A       256 A       202 A   
 180,00 keV   1,094E+00  6,343E+00    1017 A       268 A       211 A   
 200,00 keV   1,359E+00  6,265E+00    1118 A       291 A       229 A   
 225,00 keV   1,556E+00  6,163E+00    1242 A       318 A       251 A   
 250,00 keV   1,664E+00  6,058E+00    1366 A       345 A       273 A   
 275,00 keV   1,728E+00  5,954E+00    1491 A       372 A       295 A   
 300,00 keV   1,770E+00  5,852E+00    1617 A       398 A       316 A   
 325,00 keV   1,807E+00  5,751E+00    1744 A       424 A       337 A   
 350,00 keV   1,844E+00  5,653E+00    1873 A       450 A       358 A   
 375,00 keV   1,885E+00  5,557E+00    2003 A       476 A       379 A   
 400,00 keV   1,931E+00  5,464E+00    2134 A       502 A       400 A   
 450,00 keV   2,038E+00  5,288E+00    2400 A       554 A       442 A   
