 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> luglio 07, 2016 
 ==================================================================

 Disk File Name = SRIM Outputs\mylar_2.txt

 Ion = Helium [2] , Mass = 4,003 amu

 Target Density =  1,3970E+00 g/cm3 = 9,6311E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    036,36    004,20   
      C      6    045,45    062,50   
      O      8    018,18    033,30   
 ====================================
 Bragg Correction = -0,83%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10,00 keV   4,038E-01  7,525E-02    1332 A       466 A       418 A   
  11,00 keV   4,237E-01  7,120E-02    1453 A       490 A       446 A   
  12,00 keV   4,427E-01  6,762E-02    1572 A       513 A       473 A   
  13,00 keV   4,610E-01  6,444E-02    1689 A       534 A       498 A   
  14,00 keV   4,786E-01  6,158E-02    1803 A       554 A       521 A   
  15,00 keV   4,955E-01  5,901E-02    1915 A       573 A       544 A   
  16,00 keV   5,120E-01  5,667E-02    2026 A       590 A       565 A   
  17,00 keV   5,279E-01  5,454E-02    2134 A       606 A       586 A   
  18,00 keV   5,433E-01  5,258E-02    2240 A       621 A       606 A   
  20,00 keV   5,729E-01  4,911E-02    2448 A       650 A       643 A   
  22,50 keV   6,076E-01  4,544E-02    2699 A       681 A       685 A   
  25,00 keV   6,402E-01  4,235E-02    2941 A       709 A       724 A   
  27,50 keV   6,709E-01  3,970E-02    3175 A       734 A       760 A   
  30,00 keV   6,997E-01  3,740E-02    3402 A       757 A       792 A   
  32,50 keV   7,269E-01  3,538E-02    3622 A       777 A       823 A   
  35,00 keV   7,526E-01  3,360E-02    3836 A       796 A       851 A   
  37,50 keV   7,770E-01  3,200E-02    4046 A       813 A       878 A   
  40,00 keV   8,000E-01  3,057E-02    4250 A       829 A       903 A   
