 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> luglio 07, 2016 
 ==================================================================

 Disk File Name = SRIM Outputs\mylar_3.txt

 Ion = Lithium [3] , Mass = 7,016 amu

 Target Density =  1,3970E+00 g/cm3 = 9,6311E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    036,36    004,20   
      C      6    045,45    062,50   
      O      8    018,18    033,30   
 ====================================
 Bragg Correction = -6,57%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10,00 keV   3,410E-01  2,175E-01     982 A       376 A       299 A   
  11,00 keV   3,576E-01  2,076E-01    1083 A       404 A       325 A   
  12,00 keV   3,736E-01  1,988E-01    1184 A       431 A       351 A   
  13,00 keV   3,888E-01  1,908E-01    1285 A       456 A       376 A   
  14,00 keV   4,035E-01  1,835E-01    1385 A       481 A       400 A   
  15,00 keV   4,168E-01  1,769E-01    1485 A       504 A       424 A   
  16,00 keV   4,297E-01  1,708E-01    1584 A       527 A       447 A   
  17,00 keV   4,422E-01  1,652E-01    1682 A       549 A       470 A   
  18,00 keV   4,544E-01  1,600E-01    1780 A       570 A       492 A   
  20,00 keV   4,779E-01  1,506E-01    1975 A       609 A       535 A   
  22,50 keV   5,058E-01  1,406E-01    2215 A       656 A       586 A   
  25,00 keV   5,323E-01  1,320E-01    2450 A       698 A       635 A   
  27,50 keV   5,577E-01  1,245E-01    2682 A       738 A       681 A   
  30,00 keV   5,821E-01  1,179E-01    2909 A       774 A       725 A   
  32,50 keV   6,055E-01  1,121E-01    3132 A       808 A       766 A   
  35,00 keV   6,283E-01  1,070E-01    3351 A       840 A       806 A   
  37,50 keV   6,503E-01  1,023E-01    3566 A       869 A       844 A   
  40,00 keV   6,717E-01  9,807E-02    3778 A       897 A       880 A   
