 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> luglio 07, 2016 
 ==================================================================

 Disk File Name = SRIM Outputs\mylar_4.txt

 Ion = Beryllium [4] , Mass = 9,012 amu

 Target Density =  1,3970E+00 g/cm3 = 9,6311E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    036,36    004,20   
      C      6    045,45    062,50   
      O      8    018,18    033,30   
 ====================================
 Bragg Correction = -6,57%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10,00 keV   4,088E-01  3,895E-01     696 A       267 A       201 A   
  11,00 keV   4,288E-01  3,746E-01     767 A       288 A       219 A   
  12,00 keV   4,479E-01  3,609E-01     839 A       308 A       236 A   
  13,00 keV   4,662E-01  3,484E-01     910 A       328 A       254 A   
  14,00 keV   4,838E-01  3,369E-01     982 A       346 A       271 A   
  15,00 keV   5,007E-01  3,262E-01    1053 A       365 A       287 A   
  16,00 keV   5,172E-01  3,163E-01    1124 A       382 A       304 A   
  17,00 keV   5,331E-01  3,071E-01    1196 A       399 A       320 A   
  18,00 keV   5,485E-01  2,985E-01    1266 A       416 A       336 A   
  20,00 keV   5,546E-01  2,829E-01    1409 A       449 A       368 A   
  22,50 keV   5,700E-01  2,659E-01    1591 A       488 A       406 A   
  25,00 keV   5,911E-01  2,511E-01    1774 A       527 A       444 A   
  27,50 keV   6,155E-01  2,381E-01    1957 A       563 A       481 A   
  30,00 keV   6,419E-01  2,266E-01    2137 A       597 A       517 A   
  32,50 keV   6,694E-01  2,164E-01    2316 A       629 A       552 A   
  35,00 keV   6,974E-01  2,071E-01    2492 A       659 A       586 A   
  37,50 keV   7,255E-01  1,987E-01    2665 A       688 A       619 A   
  40,00 keV   7,534E-01  1,911E-01    2835 A       715 A       650 A   
  45,00 keV   8,080E-01  1,777E-01    3167 A       764 A       710 A   
