 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> luglio 07, 2016 
 ==================================================================

 Disk File Name = SRIM Outputs\mylar_5.txt

 Ion = Boron [5] , Mass = 11,009 amu

 Target Density =  1,3970E+00 g/cm3 = 9,6311E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    036,36    004,20   
      C      6    045,45    062,50   
      O      8    018,18    033,30   
 ====================================
 Bragg Correction = -6,57%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10,00 keV   6,040E-01  5,962E-01     501 A       184 A       137 A   
  11,00 keV   6,335E-01  5,769E-01     549 A       197 A       148 A   
  12,00 keV   6,617E-01  5,591E-01     598 A       210 A       159 A   
  13,00 keV   6,887E-01  5,424E-01     646 A       223 A       170 A   
  14,00 keV   7,147E-01  5,269E-01     694 A       235 A       180 A   
  15,00 keV   7,398E-01  5,124E-01     742 A       247 A       191 A   
  16,00 keV   7,641E-01  4,988E-01     790 A       258 A       201 A   
  17,00 keV   7,876E-01  4,860E-01     838 A       270 A       211 A   
  18,00 keV   8,104E-01  4,739E-01     886 A       280 A       221 A   
  20,00 keV   8,543E-01  4,519E-01     980 A       301 A       241 A   
  22,50 keV   9,002E-01  4,275E-01    1097 A       326 A       264 A   
  25,00 keV   9,299E-01  4,060E-01    1214 A       349 A       287 A   
  27,50 keV   9,693E-01  3,869E-01    1331 A       371 A       309 A   
  30,00 keV   1,013E+00  3,698E-01    1446 A       392 A       330 A   
  32,50 keV   1,058E+00  3,544E-01    1559 A       411 A       351 A   
  35,00 keV   1,103E+00  3,404E-01    1671 A       430 A       371 A   
  37,50 keV   1,146E+00  3,277E-01    1781 A       447 A       390 A   
  40,00 keV   1,187E+00  3,160E-01    1889 A       463 A       409 A   
  45,00 keV   1,264E+00  2,953E-01    2101 A       494 A       445 A   
